table_name,column_name,is_nullable,data_type
SAP_BRSPD_V,WC_SAP_PROJECT_NUMBER,YES,STRING
SAP_BRSPD_V,WC_PROFILE,YES,STRING
SAP_BRSPD_V,WC_COMPANY_CODE,YES,STRING
SAP_BRSPD_V,WC_INVESTMENT_YEAR,YES,STRING
SAP_BRSPD_V,WC_CONTRACTOR,YES,STRING
SAP_BRSPD_V,WC_REQUESTOR_COST_CENTER,YES,STRING
SAP_BRSPD_V,WC_RESPONDER_COST_CENTER,YES,STRING
SAP_BRSPD_V,WC_CITY,YES,STRING
SAP_BRSPD_V,WC_STATE,YES,STRING
SAP_BRSPD_V,WC_ZIP,YES,STRING
SAP_BRSPD_V,WC_LOCATION,YES,STRING
SAP_BRSPD_V,WBS_ID,YES,NUMERIC
SAP_BRSPD_V,WBS_STATUS,YES,STRING
SAP_BRSPD_V,WBS_ELEMENT,YES,STRING
SAP_BRSPD_V,WBS_STATISTICAL,YES,BOOL
SAP_BRSPD_V,WBS_INTEREST_PROFILE,YES,STRING
SAP_BRSPD_V,WBS_INVESTMENT_PROFILE,YES,STRING
SAP_BRSPD_V,WBS_REG_ACCOUNT,YES,STRING
SAP_BRSPD_V,WBS_WC_NAME,YES,STRING
SAP_BRSPD_V,ADDRESS_COUNT,YES,INT64
SAP_BRSPD_V,PREM_COUNT,YES,INT64
ADDRESS_POLY_20230131,STR_NUM,YES,STRING
ADDRESS_POLY_20230131,STR,YES,STRING
ADDRESS_POLY_20230131,UNIT_DES,YES,STRING
ADDRESS_POLY_20230131,UNIT_NUM,YES,STRING
ADDRESS_POLY_20230131,CITY,YES,STRING
ADDRESS_POLY_20230131,STATE,YES,STRING
ADDRESS_POLY_20230131,ZIP,YES,INT64
ADDRESS_POLY_20230131,ZIP4,YES,STRING
ADDRESS_POLY_20230131,ZBA_PR_USE,YES,STRING
ADDRESS_POLY_20230131,CNTY_FIPS,YES,INT64
ADDRESS_POLY_20230131,ADDR_CONF,YES,INT64
ADDRESS_POLY_20230131,ID,YES,INT64
ADDRESS_POLY_20230131,STATUS,YES,STRING
ADDRESS_POLY_20230131,AVAILABILTY_DATE,YES,STRING
ADDRESS_POLY_20230131,SERVING_WIRE_CENTER_CLLI,YES,STRING
ADDRESS_POLY_20230131,SERVING_WIRE_CENTER_NAME,YES,STRING
ADDRESS_POLY_20230131,SERVICE_TYPE,YES,STRING
ADDRESSABLE_PREMS_20221231,SOURCE,YES,STRING
ADDRESSABLE_PREMS_20221231,STATE,YES,STRING
ADDRESSABLE_PREMS_20221231,WC,YES,STRING
ADDRESSABLE_PREMS_20221231,MONTH,YES,DATE
ADDRESSABLE_PREMS_20221231,CT,YES,INT64
MILESTONE_REPORT_V,TICKET_PROPERTIES_ID,YES,STRING
MILESTONE_REPORT_V,TICKET_CREATOR_USERNAME,YES,STRING
MILESTONE_REPORT_V,TICKET_ASSIGNED_USERNAME,YES,STRING
MILESTONE_REPORT_V,TICKET_STATUS,YES,STRING
MILESTONE_REPORT_V,TICKET_TYPE,YES,STRING
MILESTONE_REPORT_V,TICKET_TYPE_CATEGORY,YES,STRING
MILESTONE_REPORT_V,TICKET_CANCELLED_DATETIME,YES,DATETIME
MILESTONE_REPORT_V,TICKET_CREATED_DATETIME,YES,DATETIME
MILESTONE_REPORT_V,TICKET_ASSIGNED_DATETIME,YES,DATETIME
MILESTONE_REPORT_V,TICKET_LAST_MODIFIED_DATETIME,YES,DATETIME
MILESTONE_REPORT_V,TICKET_GROUP,YES,STRING
MILESTONE_REPORT_V,TICKET_REGION,YES,STRING
MILESTONE_REPORT_V,TICKET_UPDATE_DATETIME,YES,DATETIME
MILESTONE_REPORT_V,TICKET_PROJECT_NAME,YES,STRING
MILESTONE_REPORT_V,TICKET_START_DATETIME,YES,DATETIME
MILESTONE_REPORT_V,TICKET_DUE_DATETIME,YES,DATETIME
MILESTONE_REPORT_V,TICKET_TICKET_DETAILS,YES,STRING
MILESTONE_REPORT_V,TICKET_ONSITE_DATETIME,YES,DATETIME
MILESTONE_REPORT_V,TICKET_PROJECT,YES,STRING
MILESTONE_REPORT_V,WC_TICKET_ID,YES,STRING
MILESTONE_REPORT_V,WC_PROPERTIES_TICKET_GROUP,YES,STRING
MILESTONE_REPORT_V,WC_PROFILE,YES,STRING
MILESTONE_REPORT_V,WC_COMPANY_CODE,YES,STRING
